year,name,engine_size,mileage(km),price(eur),link
2022,Ford Puma,1.0 Petrol Hybrid,63528,24450,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-st-line-125bhp/40237674
2018,Ford Fiesta,1.5 Diesel,168000,13950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-5-diesel-zetec/40555159
2019,Ford Kuga,1.5 Diesel,129000,20950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-st-line/40359588
2024,Ford Puma,1.0 Petrol Hybrid,32000,28950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium/40217805
2018,Ford Fiesta,1.1 Petrol,169000,13950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-1-petrol-titanium/40234474
2023,Ford Kuga,2.5 Petrol,30000,34950,https://www.donedeal.ie/cars-for-sale/ford-kuga-automatic-2-5-petrol-hybrid-titanium/40221510
2023,Ford Puma,1.0 Petrol Hybrid,42543,26950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-st-line-125bhp/40074174
2025,Ford Kuga,2.5 Petrol Plug-in Hybrid,3000,49950,https://www.donedeal.ie/cars-for-sale/ford-kuga-automatic-2-5-petrol-hybrid-st-line-de/40217867
2019,Ford Focus,1.0 Petrol,101995,18450,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-titanium-125bhp/40050855
2018,Ford C-Max,1.5 Diesel,150500,13950,https://www.donedeal.ie/cars-for-sale/ford-c-max-1-5-diesel-titanium/40029178
2022,Ford Focus,1.0 Petrol Hybrid,43000,24950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-hybrid-titanium-125bhp/40087221
2023,Ford Puma,1.0 Petrol Hybrid,43551,25950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-125bhp/39579835
2020,Ford Kuga,1.5 Diesel,115568,23500,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/39579719
2023,Ford Mustang,98.8 kWh Electric,4331,49950,https://www.donedeal.ie/cars-for-sale/ford-mustang-mach-e-91kwh-98kwh-extended-range/40018709
2022,Ford Fiesta,1.0 Petrol,48018,19950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-trend/39920616
2022,Ford Focus,1.0 Petrol Hybrid,57471,23950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-hybrid-titanium-125bhp/39579489
2021,Ford Puma,1.0 Petrol Hybrid,93264,19950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-125bhp/39580326
2021,Ford Puma,1.0 Petrol Hybrid,95408,19950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-125bhp/39571156
2021,Ford Kuga,1.5 Diesel,100785,25950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/37782918
2021,Ford Focus,1.0 Petrol,61142,23950,https://www.donedeal.ie/cars-for-sale/ford-focus-automatic-1-0-petrol-titanium/37874725
2021,Ford Fiesta,1.0 Petrol,58465,18950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-active-95bhp/37637045
2017,Ford Fiesta,1.0 Petrol,60402,12950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-titanium/40391719
2022,Ford Kuga,2.5 Petrol Plug-in Hybrid,65221,30950,https://www.donedeal.ie/cars-for-sale/ford-kuga-automatic-2-5-petrol-hybrid-titanium/40087248
2017,Ford Kuga,1.5 Diesel,174581,14950,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/39579624
2025,Ford Puma,1.0 Petrol Hybrid,2000,32950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-demo/40295740
2023,Ford Fiesta,1.1 Petrol,25704,21950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-1-petrol-trend/39537030
2024,Ford Puma,1.0 Petrol,17500,29950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-st-line-125bhp/40225795
2021,Ford Focus,1.0 Petrol Hybrid,140929,17950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-hybrid-titanium-125bhp/39364636
2021,Ford Focus,1.5 Diesel,96000,22950,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-1-5-diesel-120bhp/39363495
2019,Ford Focus,1.5 Diesel,152930,18450,https://www.donedeal.ie/cars-for-sale/ford-focus-1-5-diesel-titanium-120bhp/39363461
2015,Ford C-Max,1.6 Diesel,193000,9950,https://www.donedeal.ie/cars-for-sale/ford-c-max-1-6-diesel-titanium/39579523
2021,Ford Fiesta,1.0 Petrol,52102,17950,https://www.donedeal.ie/cars-for-sale/ford-fiesta-1-0-petrol-titanium/39299503
2022,Ford Focus,1.0 Petrol,26000,25950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-titanium-125bhp/39114916
2022,Ford Focus,1.0 Petrol,66512,22950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-125bhp-trend/39093268
2017,Ford EcoSport,1.5 Diesel,133000,13950,https://www.donedeal.ie/cars-for-sale/ford-ecosport-1-5-diesel-titanium/39109226
2024,Ford Focus,1.0 Petrol,24680,29950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-titanium-125bhp/38738478
2015,Ford Kuga,2.0 Diesel,224506,12950,https://www.donedeal.ie/cars-for-sale/ford-kuga-2-0-diesel-titanium-awd-commercial-4-se/38547044
2018,Ford Focus,1.0 Petrol,138000,16950,https://www.donedeal.ie/cars-for-sale/ford-focus-1-0-petrol-125bhp-titanium/38439966
2020,Ford Kuga,1.5 Diesel,101723,23500,https://www.donedeal.ie/cars-for-sale/ford-kuga-1-5-diesel-titanium-120bhp/37860835
2019,Ford Focus,1.0 Petrol,41888,16950,https://www.donedeal.ie/cars-for-sale/ford-focus-2019/40196503
2018,Ford Focus,1.5 Diesel,141967,16500,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci-auto/40263394
2017,Ford Focus,1.5 Diesel,153709,13500,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-tdci/40658087
2015,Ford Focus,1.5 Diesel,198146,9500,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40644267
2016,Ford Focus,1.5 Diesel,176353,10950,https://www.donedeal.ie/cars-for-sale/ford-focus-titanium-tdci/40617307
2017,Ford Focus,1.5 Diesel,213425,12950,https://www.donedeal.ie/cars-for-sale/ford-focus-st-line-tdci/40610822
2016,Ford Focus,1.5 Diesel,184031,11500,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/40146085
2023,Ford Puma,1.0 Petrol Hybrid,52000,25950,https://www.donedeal.ie/cars-for-sale/ford-puma-1-0-petrol-hybrid-titanium-125bhp/40340748
2022,Ford Focus,1.5 Diesel,143575,20950,https://www.donedeal.ie/cars-for-sale/ford-focus-zetec-tdci/40146084
2015,Ford Focus,1.6 Diesel,270396,8500,https://www.donedeal.ie/cars-for-sale/ford-focus-1-6-tdci-zetec-navigator-115ps-5dr/40524639
2022,Ford Kuga,1.5 Diesel,72898,32950,https://www.donedeal.ie/cars-for-sale/ford-kuga-st-line-x-ed-ecoblue-edition/40504235
