year,name,engine_size,mileage(km),price(eur),link
2014,Hyundai ix35,1.7 Diesel,224824,6995,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-2014/40510028
2014,Opel Mokka,1.6 Petrol,96882,6495,https://www.donedeal.ie/cars-for-sale/opel-mokka-2014-low-mileage/40393629
2015,Nissan Qashqai,1.5 Diesel,212000,7995,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2015/40539942
2016,Opel Corsa,1.4 Petrol,174000,7495,https://www.donedeal.ie/cars-for-sale/opel-corsa-2016-opc-line/40436515
2017,Nissan Leaf,24 kWh Electric,83000,5995,https://www.donedeal.ie/cars-for-sale/nissan-leaf-2017-full-electric-120km-range/39968067
2012,Kia Optima,1.7 Diesel,215651,5999,https://www.donedeal.ie/cars-for-sale/2012-kia-optima-1-7d-platinum-huge-spec/40803944?campaign=3
2015,Fiat 500,1.2 Petrol,90617,7399,https://www.donedeal.ie/cars-for-sale/fiat-500-1-2-automatic-new-nct-warranty-/40461011
2015,Nissan Note,1.2 Petrol,77248,7649,https://www.donedeal.ie/cars-for-sale/2015-nissan-note-1-2-auto-warranty-48k-miles/40510635
2013,Nissan Juke,1.5 Petrol,65443,7799,https://www.donedeal.ie/cars-for-sale/nissan-juke-2013automatic-new-nct-warranty/40564208
2014,Peugeot 2008,1.4 Diesel,154000,6999,https://www.donedeal.ie/cars-for-sale/peugeot-2008-2014-high-spec-low-klms-/40799490
2016,Ford Tourneo Connect,1.5 Diesel,323477,7950,https://www.donedeal.ie/cars-for-sale/2016-ford-tourneo-connect-7-seats/40751173
2016,Volkswagen Passat,1.6 Diesel,297000,7995,https://www.donedeal.ie/cars-for-sale/2016-volkswagen-passat-1-6-tdi-120hp-highline/40576411
2015,Honda Fit,1.5 Petrol Hybrid,164000,7995,https://www.donedeal.ie/cars-for-sale/honda-fit-2015-new-nct/40751870
2014,Honda Jazz,1.2 Petrol,193120,5495,https://www.donedeal.ie/cars-for-sale/honda-jazz-2014/40739230
2016,Renault Kadjar,1.5 Diesel,262689,7495,https://www.donedeal.ie/cars-for-sale/2016-renault-kadjar-1-5-dci-110-energy-dyna-nav/40490679
2017,Skoda Fabia,1.2 Petrol,189726,7495,https://www.donedeal.ie/cars-for-sale/2017-skoda-fabia-1-2-tsi-ambition/40332012
2014,Nissan Juke,1.5 Diesel,238375,5495,https://www.donedeal.ie/cars-for-sale/2014-nissan-juke-1-5d-sport/40315370
2016,Renault Captur,1.5 Diesel,217672,6995,https://www.donedeal.ie/cars-for-sale/renault-captur-intense-2016-90ps/40100926
2015,Fiat 500,1.2 Petrol,54736,7495,https://www.donedeal.ie/cars-for-sale/fiat-500-lounge-2015-1-2-petrol-only-54-000km/40100892
2013,Nissan Qashqai,1.6 Diesel,181310,5950,https://www.donedeal.ie/cars-for-sale/131-nissan-qashqai-1-6d-new-nct/40056962
2013,Hyundai ix35,1.7 Diesel,205000,5995,https://www.donedeal.ie/cars-for-sale/hyundai-ix35-1-7-executive-5dr/40682645
2014,Toyota Corolla,1.4 Diesel,148668,7750,https://www.donedeal.ie/cars-for-sale/141-toyota-corolla-1-4-diesel-/40724895
2014,Toyota Yaris,1.0 Petrol,110533,6950,https://www.donedeal.ie/cars-for-sale/141-toyota-yaris-1-0-petrol-low-miles-new-nct/40776519
2015,Renault Captur,0.9 Petrol,136781,7995,https://www.donedeal.ie/cars-for-sale/151-renault-captur-1-0-petrol-low-miles-new-nct/40158554
2015,Peugeot 5008,1.6 Diesel,195000,6900,https://www.donedeal.ie/cars-for-sale/peugeot-5008-1-6-hdi-115-bhp-active-nct-07-26-tax/39736231
2015,Peugeot 2008,1.2 Petrol,123000,6950,https://www.donedeal.ie/cars-for-sale/peugeot-2008-2015-ncted-9-25/38505871
2015,Opel Corsa,1.2 Petrol,133000,7400,https://www.donedeal.ie/cars-for-sale/opel-corsa-new-nct-11-27-low-mileage/40100335
2014,Fiat 500,1.2 Petrol,92343,7450,https://www.donedeal.ie/cars-for-sale/fiat-500-1-2-pop-2014/40482139
2013,Nissan Juke,1.5 Diesel,154000,7999,https://www.donedeal.ie/cars-for-sale/2013-nissan-juke-1-5-dci/34443793
2013,Honda Jazz,1.3 Petrol,140012,7250,https://www.donedeal.ie/cars-for-sale/honda-jazz-1-3-hybrid-5dr-auto/40410570
2015,Fiat 500,1.2 Petrol,54736,7495,https://www.donedeal.ie/cars-for-sale/fiat-500-lounge-2015-1-2-petrol-only-54-000km/40100892?campaign=3
2017,Peugeot Partner,1.6 Diesel,238000,7495,https://www.donedeal.ie/cars-for-sale/peugeot-partner-2017/39917376?campaign=3
2014,Nissan Qashqai,1.5 Diesel,217000,5950,https://www.donedeal.ie/cars-for-sale/nissan-qashqai-2014-1-5-dci-nct-7-26/40704665?campaign=3
2016,Ford Focus,1.6 Diesel,185864,7750,https://www.donedeal.ie/cars-for-sale/ford-focus-1-6-tdci-95ps-van-no-vat/40366067
2016,Peugeot 508,1.6 Diesel,240000,7950,https://www.donedeal.ie/cars-for-sale/peugeot-508-active-1-6-blue-hdi-120-nct-05-26/39916359
2014,Renault Megane,1.5 Diesel,225628,5900,https://www.donedeal.ie/cars-for-sale/renault-megane-1-5-dci-nct-05-26/39442476
2012,Volkswagen Golf,1.6 Diesel,175000,7950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-1-6-tdi-high-spec/40624699
2017,Nissan Micra,1.2 Petrol,143231,7450,https://www.donedeal.ie/cars-for-sale/nissan-micra-2017-1-2/40624453
2014,Fiat 500,1.2 Petrol,92384,6950,https://www.donedeal.ie/cars-for-sale/-2014-fiat-500s-low-miles-rare-colour-/37769427
2014,Fiat 500,1.2 Petrol,132179,6450,https://www.donedeal.ie/cars-for-sale/-2014-fiat-500-pop-model-new-nct-/37971573
2014,Suzuki Swift,1.2 Petrol,109000,7995,https://www.donedeal.ie/cars-for-sale/suzuki-swift-1-2-gl-5dr-4dr/40787459
2017,Opel Zafira,1.6 Diesel,173654,7950,https://www.donedeal.ie/cars-for-sale/opel-zafira-2017-seven-seat-1-6-cdti/38986408
2013,Skoda Yeti,1.6 Diesel,263605,6950,https://www.donedeal.ie/cars-for-sale/skoda-yeti-1-6-tdi-se-greenline/38289152
2015,Toyota Aygo,1.0 Petrol,154952,6950,https://www.donedeal.ie/cars-for-sale/toyota-aygo-1-0-petrol-vvti-ix-3-door/40556476
2015,Citroen C4,1.6 Diesel,209649,5950,https://www.donedeal.ie/cars-for-sale/citroen-c4-grand-picasso-1-6-hdi-7-seater-vtr/40535883
2014,Opel Corsa,1.2 Diesel,144810,5950,https://www.donedeal.ie/cars-for-sale/opel-corsa-1-3-cdti-5-door-excite/40244526
2016,Peugeot 5008,1.6 Diesel,223205,7950,https://www.donedeal.ie/cars-for-sale/peugeot-5008-1-6-hdi-active-seven-seater/39890580
2015,Volkswagen Golf,1.6 Diesel,218295,7950,https://www.donedeal.ie/cars-for-sale/volkswagen-golf-plus-1-6-tdi-trend/40148279
2013,Volvo V60,1.6 Petrol,197197,8950,https://www.donedeal.ie/cars-for-sale/volvo-v60-2013/39788747
2013,Opel Astra,1.2 Diesel,211996,5950,https://www.donedeal.ie/cars-for-sale/opel-astra-1-3-diesel-sc-saloon/36995094
2013,Ford Focus,2.0 Diesel,266138,5950,https://www.donedeal.ie/cars-for-sale/ford-focus-2-0-tdci-zetec-138bhp-5-door/35183523
